Pavadinimas,Autorius,Žanras,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius
Buvo ir nebėr,Margaret Millar,"Detektyvai, trileriai",2002,253,0,0,2.17,Alma littera,"15 x 23,5 x 2 cm, minkšti viršeliai",Lietuvių,0,4
Buvo nebūtinai,Ineza Juzefa Janonė,Lietuvių autorių romanai,2009,304,0,0,4.59,Versus Aureus,"14,5 x 22 cm, kieti viršeliai",Lietuvių,1,5
Buvusi žmona,Ursula Parrott,Klasika,2024,294,20.59,18.25,0,Tyto alba,"14,8 x 22,1 x 2,8 cm, kieti viršeliai",Lietuvių,0,0
Buvusiojo sindromas,Nancy Warren,Meilės romanai,2012,186,0,0,2.19,UAB Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,4
Buvusios draugės,Susan Mallery,Meilės romanai,2014,416,0,0,7.00,Svajonių knygos,"14 x 21 cm, kieti viršeliai",Lietuvių,4,4
"Byla Nr. 0,(9)",Sigitas Krutulys-Sygis,"Poezija, drama, esė",2021,104,8.49,7.22,0,Kitos knygos,"15 x 20 x 1 cm, minkšti viršeliai",Lietuvių,0,5
Bylininkai,John Grisham,Užsienio autorių romanai,2012,400,0,0,11.79,Jotema,"14,5 x 22 cm, kieti viršeliai",Lietuvių,3,5
Čakona. Užmario slėnio kalnai ir XXX vizijų,Tomas Sakalauskas,"Poezija, drama, esė",1994,333,0,0,0,Alna litera,"16 x 24 cm, kieti viršeliai",Lietuvių,0,3
Čalderono vienuoliai,Brajanas Eliotas,Fantastika,1994,94,0,0,3.39,Alna litera,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,0
Čanslerio rankraštis,Robert Ludlum,"Detektyvai, trileriai",2009,512,0,0,4.59,Obuolys,"14 x 23 cm, kieti viršeliai",Lietuvių,4,5
Carienė,Ellen Alpsten,Istoriniai romanai,2023,522,22.19,19.95,22.19,Briedis,"15 x 22 x 4,5 cm, puskiečiai viršeliai",Lietuvių,11,4
Carienės duktė,Ellen Alpsten,Istoriniai romanai,2023,504,21.49,19.28,21.49,Briedis,"14,5 x 21,5 x 4,2 cm, puskiečiai viršeliai",Lietuvių,6,3
Čarlzas ir Ema,Deborah Heiligman,"Biografijos, publicistika",2010,279,0,0,2.09,Tyto alba,"15,4 x 22,2 cm, kieti viršeliai",Lietuvių,0,4
Caro kurjeris,Ž. Vernas,Užsienio autorių romanai,1991,222,0,0,2.00,Onutė Šešupė,"14 x 20 cm, minkšti viršeliai",Lietuvių,3,4
Cartier žvaigždės kelionė,Rasa Lapė,Lietuvių autorių romanai,2023,400,16.19,14.57,0,Homo liber,"14 x 21 x 3 cm, minkšti viršeliai",Lietuvių,0,0
Čekų novelės,Rasa Lapė,Užsienio autorių romanai,1984,326,0,0,2.00,Vaga,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Celestino šventyklos pranašystė,James Redfield,Užsienio autorių romanai,2008,294,0,0,24.99,Vaga,"14,5 x 21,5 x 3 cm, kieti viršeliai",Lietuvių,1,5
Čempionų pusryčiai,Kurt Vonnegut,Klasika,2022,304,15.59,12.47,15.59,Kitos knygos,"14,2 x 20,2 x 2,3 cm, minkšti viršeliai",Lietuvių,2,4
Čenčiai. Žoržas,A. Diuma,Užsienio autorių romanai,1996,332,0,0,2.19,Markas,"13 x 20,5 cm, kieti viršeliai",Lietuvių,2,4
Čensleris,Žiulis Vernas,Užsienio autorių romanai,1998,223,0,0,9.99,Anbo,"13 x 20,5 cm, kieti viršeliai",Lietuvių,2,4
Centrinė stotis,Fiona Davis,Užsienio autorių romanai,2019,376,0,0,4.59,Tyto alba,"15 x 22 x 3,5 cm, kieti viršeliai",Lietuvių,10,4
Centrinis parkas. Nenuspėjamas ir sukrečiantis psichologinis trileris neleis atsikvėpti iki pat pribloškiančios pabaigos,Guillaume Musso,"Detektyvai, trileriai",2015,312,0,0,6.99,Baltos lankos,"21 x 14,5 x 3,2 cm, kieti viršeliai",Lietuvių,10,4
Cerberis (PFAF 72),Jack L. Chalker,Fantastika,1997,207,0,0,8.19,Eridanas,"13 x 20 cm, minkšti viršeliai",Lietuvių,1,5
Ceremonija,Marmon Leslie Silko,Užsienio autorių romanai,2009,288,0,0,4.59,Lietuvos rašytojų sąjungos leidykla,"14,5 x 21,5 cm, kieti viršeliai",Lietuvių,1,5
Černobylio malda (1999),Svetlana Aleksijevič,Užsienio autorių romanai,1999,286,0,0,0,Alma littera,"13 x 20 cm, kieti viršeliai",Lietuvių,0,4
Černobylio malda. Ateities kronika,Svetlana Aleksijevič,Užsienio autorių romanai,2019,256,11.45,10.31,11.45,Alma littera,"14,3 x 23,5 x 2,6 cm, kieti viršeliai",Lietuvių,31,4
Česilo pakrantėje,Ian McEwan,Užsienio autorių romanai,2009,160,0,0,2.19,Jotema,"14 x 21 cm, minkšti viršeliai",Lietuvių,2,5
Cetaganda (PFAF 63),Lois McMaster Bujold,Fantastika,1997,208,0,0,8.19,Eridanas,"13 x 20 cm, minkšti viršeliai",Lietuvių,1,5
Cezario kančios,Romas Gudaitis,"Poezija, drama, esė",2023,192,9.69,8.72,0,Homo liber,"15,5 x 21,5 x 2 cm, kieti viršeliai",Lietuvių,0,0
Cezaris Bordžija,Haris Šefas,Istoriniai romanai,1993,171,0,0,6.99,Varpas,"13 x 20 cm, kieti viršeliai",Lietuvių,2,3
Cezaris,Mirko Jelusich,Užsienio autorių romanai,1998,399,0,0,17.99,Lietuvos rašytojų sąjungos leidykla,"12,5 x 19,5 x 2,5 cm, minkšti viršeliai",Lietuvių,0,0
"Ch. Romanas apie pirmąjį tikrą teatrą, kuriame vaidinama iki mirties",Tomas Vaiseta,Lietuvių autorių romanai,2021,240,12.39,9.29,12.39,Baltos lankos,"14,5 x 21 x 2,1 cm, kieti viršeliai",Lietuvių,13,2
Chadži Muratas,Lev Tolstoj,Klasika,1949,1906,0,0,0,Valstybinė grožinės literatūros leidykla,"15,2 x 20,4 x 2,8 cm, minkšti viršeliai",Lietuvių,1,5
Chameleono spalvos,Jonas Avyžius,Lietuvių autorių romanai,1980,479,0,0,2.19,Vaga,"14 x 21 cm, kieti viršeliai",Lietuvių,1,5
Chaosas ir Amberas (PFAF 496),John Gregory Betancourt,Fantastika,2014,270,0,0,5.79,Eridanas,"12,5 x 20 cm, minkšti viršeliai",Lietuvių,0,4
Chaoso formos (PFAF 149),Colin Kapp,Fantastika,1999,202,0,0,6.98,Eridanas,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,4
Chaoso ginklas (PFAF 164),Colin Kapp,Fantastika,2000,237,0,0,0,Eridanas,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,0
Chaoso rūmai (PFAF 134),Roger Zelazny,Fantastika,1999,238,0,0,7.83,Eridanas,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,4
Charakteriai: sąjūdininko novelės,Aloyzas Tendzegolskis,"Poezija, drama, esė",2021,96,9.19,8.27,0,Homo liber,"13 x 21 x 0,8 cm, kieti viršeliai",Lietuvių,0,0
Charama,Rafaelis Sančesas Ferlosijas,Užsienio autorių romanai,1989,308,0,0,2.00,Vaga,"14,5 x 22 cm, kieti viršeliai",Lietuvių,0,0
Charonas (PFAF 73),Jack L. Chalker,Fantastika,1997,207,0,0,0,Eridanas,"13 x 20 cm, minkšti viršeliai",Lietuvių,1,5
Charono žiedas,Roger MacBride Allen,Fantastika,2009,320,0,0,18.99,Eridanas,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,4
Chazarų žodynas,Milorad Pavic,Užsienio autorių romanai,2010,360,0,0,0,Lietuvos rašytojų sąjungos leidykla,"14,5 x 21,5 cm, kieti viršeliai",Lietuvių,0,4
Chemikė,Stephenie Meyer,"Detektyvai, trileriai",2017,512,0,0,3.38,Alma littera,"14,3 x 23,5 x 3,4 cm, kieti viršeliai",Lietuvių,9,4
Chenos Adamantas: „Žiedų valdovo“ tęsinys,Nik Perumov,Knygos paaugliams,2008,384,0,0,0,Eridanas,"17 x 25 cm, kieti viršeliai",Lietuvių,1,5
Chimera,Andrew Davidson,Meilės romanai,2014,512,0,0,12.99,Tyto alba,"15 x 22 cm, kieti viršeliai",Lietuvių,15,4
Chimeros akys,Jonas Aistis,"Poezija, drama, esė",2008,264,0,0,24.99,Lietuvos rašytojų sąjungos leidykla,"13,5 x 20,5 cm, kieti viršeliai",Lietuvių,0,4
Chirurgas (2012),Tess Gerritsen,"Detektyvai, trileriai",2012,368,0,0,8.19,Jotema,"14 x 21 x 3 cm, minkšti viršeliai",Anglų,2,5
Chirurgas,Tess Gerritsen,"Detektyvai, trileriai",2019,366,0,0,22.49,Jotema,"14 x 21,5 x 2,6 cm, minkšti viršeliai",Lietuvių,40,4
Chirurgas,Tess Gerritsen,"Detektyvai, trileriai",2008,336,0,0,19.99,Jotema,"15 x 22 cm, kieti viršeliai",Anglų,11,4
Chirurgė,Leslie Wolfe,"Detektyvai, trileriai",2023,320,16.29,12.97,16.29,Sofoklis,"14,3 x 21,5 x 2,5 cm, kieti viršeliai",Lietuvių,34,3
Chirurgo duktė. Romano „Mergina jo šešėlyje“ tęsinys,Audrey Blake,Istoriniai romanai,2024,464,22.99,20.69,22.99,Alma littera,"15 x 21,8 x 3,3 cm, kieti viršeliai",Lietuvių,2,4
"CHOLODAS. Sielą stingdanti istorija apie nusivylimą idėjomis, likimą, alkį ir trumpas atokvėpio akimirkas už civilizacijos ribų",Szczepan Twardoch,Užsienio autorių romanai,2024,384,21.79,16.34,21.79,Lietuvos rašytojų sąjungos leidykla,"15 x 21,6 x 3,8 cm, kieti viršeliai",Lietuvių,0,4
Chrizantemų autobuse,Eugenijus Ignatavičius,Lietuvių autorių romanai,1988,221,0,0,2.00,Vaga,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Chronolitai (PFAF 311),Robert Charles Wilson,Fantastika,2004,215,0,0,0,Eridanas,"13 x 20 x 1,4 cm, minkšti viršeliai",Lietuvių,0,4
Chronos ir kairos: sueities taškai ir akimirkos,Valdas Aušra,"Poezija, drama, esė",2022,136,13.39,12.05,0,Slinktys,"15,5 x 20,5 x 1,4 cm, kieti viršeliai",Lietuvių,0,0
Chtoniškasis lietuvių mitologijos pasaulis,Norbertas Vėlius,Folkloras ir mitologija,1987,317,0,0,24.99,Vaga,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Chuanas Kreolas,Karlas Loveira,Užsienio autorių romanai,1984,312,0,0,2.19,Vaga,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Churchillis. Didžio žmogaus legenda,Geoffrey Best,"Biografijos, publicistika",2024,416,27.59,24.58,27.59,Alma littera,"16,7 x 23,9 x 3,4 cm, kieti viršeliai",Lietuvių,0,0
Churkano migla,Arvydas Daškus,Lietuvių autorių romanai,2023,282,19.39,17.45,19.39,Eglės leidykla,"14,8 x 21 x 2,5 cm, puskiečiai viršeliai",Lietuvių,3,5
"Čia, Avalone",Tara Isabella Burton,Užsienio autorių romanai,2024,320,18.29,16.40,18.29,Jotema,"15 x 22 x 3,2 cm, kieti viršeliai",Lietuvių,1,5
Čia bus Mėmelio pilis,Darius Musteikis,Lietuvių autorių romanai,2021,288,10.29,9.26,0,Briedis,"14,5 x 21,5 x 2,5 cm, minkšti viršeliai",Lietuvių,14,4
"ČIA BUVO BRITA MARIJA: paradoksų, humoro ir išminties kupinas romanas patenkins ir didžiausią literatūros gurmaną, ir skaitytoją, kuris moka džiaugtis tiesiog puikiai papasakota istorija",Fredrik Backman,Užsienio autorių romanai,2021,312,14.99,13.49,14.99,Alma littera,"14,3 x 23,5 x 2,8 cm, kieti viršeliai",Lietuvių,8,4
Čia esu aš. Atminčių romanas,Edmundas Janušaitis,Lietuvių autorių romanai,2023,192,14.59,13.13,0,Asociacija „Slinktys“,"14,5 x 21,5 x 2,1 cm, kieti viršeliai",Lietuvių,1,5
Čia ir dabar,Santa Montefiore,Užsienio autorių romanai,2021,432,16.25,9.75,16.25,Alma littera,"14,3 x 21,3 x 3,1 cm, kieti viršeliai",Lietuvių,11,4
Čia Lietuva. Eduardas Mieželaitis,Eduardas Mieželaitis,"Poezija, drama, esė",1978,558,0,0,2.00,Vaga,"13 x 20,5 x 2 cm, kieti viršeliai",Lietuvių,1,5
Čia mano žemė,Algis Jakštas,"Poezija, drama, esė",2014,264,0,0,16.59,Diemedžio leidykla,"13,5 x 21,8 x 2 cm, kieti viršeliai",Lietuvių,1,5
Čia priėjo Kindziulis (1982),Juozas Bulota,Humoras ir komiksai,1982,160,0,0,0,Mintis,"11 x 20 x 0,7 cm, minkšti viršeliai",Lietuvių,0,0
Čiapajevas ir Pustota,Viktor Pelevin,Užsienio autorių romanai,1998,332,0,0,17.79,Tyto alba,"14 x 21 x 2 cm, minkšti viršeliai",Lietuvių,0,3
Čiauškutė (1960),Rešadas Nuris Giuntekinas,Užsienio autorių romanai,1960,487,0,0,11.79,Valstybinė grožinės literatūros leidykla,"13,5 x 20 x 3 cm, kieti viršeliai",Lietuvių,0,0
Čiauškutė (1993),Rešadas Nuris Giuntekinas,Užsienio autorių romanai,1993,412,0,0,6.49,Aušra,"13 x 20,5 x 2 cm, kieti viršeliai",Lietuvių,1,5
Čiauškutė (2008),Reşat Nuri Güntekin,Knygos paaugliams,2008,416,0,0,13.95,Alma littera,"15 x 24 x 3,5 cm, kieti viršeliai",Lietuvių,1,5
Čiauškutė (2016),Reşat Nuri Güntekin,Knygos paaugliams,2015,440,0,0,11.79,Alma littera,"14,3 x 21,5 x 3,8 cm, kieti viršeliai",Lietuvių,11,3
Čiauškutė,Rešadas Nuris Giuntekinas,Užsienio autorių romanai,1993,336,0,0,2.19,Alma littera,"13 x 20 cm, minkšti viršeliai",Lietuvių,4,3
Čigonų didikas,Ket Martin,Meilės romanai,1999,320,0,0,0,Rosma,"14 x 20 cm, kieti viršeliai",Lietuvių,0,0
"CIKADŲ VASARA: meilė, išdavystė, nusivylimai ir vėl netikėtai širdį aplankantys jausmai... Kurortiniame miestelyje prie ežero vyksta tikra gyvenimiška drama",Maureen Leurck,Meilės romanai,2018,416,0,0,4.47,BALTO leidybos namai,"12,5 x 18,7 x 3 cm, minkšti viršeliai",Lietuvių,18,4
Čilberio moterų choras,Jennifer Ryan,Užsienio autorių romanai,2017,432,0,0,8.19,Lietuvos rašytojų sąjungos leidykla,"14,5 x 22 x 4 cm, kieti viršeliai",Lietuvių,6,5
Čilės noktiurnas,Roberto Bolano,Užsienio autorių romanai,2008,152,0,0,12.87,Alma littera,"13 x 20,5 cm, kieti viršeliai",Lietuvių,1,5
Čilės poetas,Alejandro Zambra,Užsienio autorių romanai,2021,360,13.99,12.59,0,Rara,"14 x 21 x 2,3 cm, minkšti viršeliai",Lietuvių,0,4
CILKOS KELIAS: bestselerio „Aušvico tatuiruotojas“ tęsinys,Heather Morris,Užsienio autorių romanai,2020,384,14.39,12.00,14.39,Baltos lankos,"14,5 x 21 x 2,8 cm, kieti viršeliai",Lietuvių,71,4
Cinamoninės krautuvės,Bruno Schultz,Užsienio autorių romanai,2010,301,0,0,24.99,Baltos lankos,"14 x 20 cm, minkšti viršeliai",Lietuvių,0,4
Cinamono miestas,Miranda Innes,Užsienio autorių romanai,2008,296,0,0,0,Alma littera,"14,5 x 21,5 cm, minkšti viršeliai",Lietuvių,0,3
Čingis-chanas,V. Janas,Užsienio autorių romanai,1949,349,0,0,0,Valstybinė grožinės literatūros leidykla,"14,5 x 21 cm, minkšti viršeliai",Lietuvių,0,0
Cinko berniukai,Svetlana Aleksijevič,Užsienio autorių romanai,2020,288,0,0,0,Alma littera,"14,3 x 23,5 x 2 cm, kieti viršeliai",Lietuvių,8,4
"ČINOS AIRON KELIONĖS. Tirštas, sodrus ir gurmaniškas pasakojimas išskirtinės literatūros gerbėjams",Gabriela Cabezón Cámara,Užsienio autorių romanai,2021,208,12.19,5.53,12.19,BALTO leidybos namai,"13,5 x 20 x 2,1 cm, kieti viršeliai",Lietuvių,4,4
Čiočiarė,Alberto Moravija,Užsienio autorių romanai,1959,405,0,0,0,Valstybinė grožinės literatūros leidykla,"13,5 x 20 x 3 cm, kieti viršeliai",Lietuvių,0,0
Cirko direktoriaus duktė,Jostein Gaarder,Užsienio autorių romanai,2007,200,0,0,5.94,Alma littera,"15 x 24,5 cm, kieti viršeliai",Lietuvių,1,5
Cirko sūnus,John Irving,Užsienio autorių romanai,1998,695,0,0,3.15,Alma littera,"12,5 x 20 cm, minkšti viršeliai",Lietuvių,1,5
Cirko sūnus,John Irving,Užsienio autorių romanai,2010,840,0,0,5.55,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,7,5
Citadelė,Antoine de Saint-Exupery,Užsienio autorių romanai,2022,472,15.29,6.10,15.29,Tyto alba,"15 x 22 x 4,5 cm, kieti viršeliai",Lietuvių,7,4
Citadelė (1994),Arčibaldas Kroninas,Užsienio autorių romanai,1994,398,0,0,0,Vaiga,"13 x 20 cm, kieti viršeliai",Lietuvių,1,5
Citadelė,Antoine de Saint Exupery,Užsienio autorių romanai,2005,476,0,0,2.19,Tyto alba,"15 x 22, kieti viršeliai",Lietuvių,2,3
Citadelė,A. Kroninas,Užsienio autorių romanai,1957,535,0,0,5.79,Valstybinė grožinės literatūros leidykla,"13,5 x 20 cm, kieti viršeliai",Lietuvių,0,0
Citrinmedžių vila,Jolita Herlyn,Lietuvių autorių romanai,2023,304,15.19,13.67,15.19,Alma littera,"15 x 21,8 x 2,8 cm, kieti viršeliai",Lietuvių,9,3
"CITRINŲ DUONA. Maža kepyklėlė Maljorkoje, vasaros kvapas ir paslaptingas palikimas...",Cristina Campos,Užsienio autorių romanai,2024,336,26.79,24.11,26.79,Obuolys,"15,3 x 21,6 x 2,9 cm, kieti viršeliai",Lietuvių,4,5
City,Alessandro Baricco,Užsienio autorių romanai,2007,280,0,0,3.99,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,1,4
City 2002,Alessandro Baricco,Užsienio autorių romanai,2002,280,0,0,3.99,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,1,4
City of Ashes. The Mortal Instruments,Cassandra Clare,Knygos paaugliams,2008,453,0,0,0,Alma littera,"14 x 20 cm, minkšti viršeliai",Anglų,0,4
City of Bones. The Mortal Instruments,Cassandra Clare,Knygos paaugliams,2007,485,0,0,0,Alma littera,"14 x 20 cm, minkšti viršeliai",Anglų,0,4
City of Glass. The Mortal Instruments,Cassandra Clare,Fantastika,2009,541,0,0,0,Alma littera,"14 x 20 cm, minkšti viršeliai",Anglų,0,4
"Čiulba ulba ūbauja. Su CD įrašyta pasaka, dainelėmis ir gyvais paukščių garsais",Sonata Latvėnaitė-Kričenienė,Folkloras ir mitologija,2013,56,14.99,13.49,0,Muzikija,"23 x 23 x 1 cm, kieti viršeliai",Lietuvių,0,0
Čiupinėjimo malonumas 2007,Sara Poisson,Lietuvių autorių romanai,2007,230,0,0,3.39,Tyto alba,"14,5 x 21,5 cm, minkšti viršeliai",Lietuvių,1,5
Civilizuotos mintys apie karvę,Rita Latvėnaitė-Kairienė,Lietuvių autorių romanai,2009,192,4.90,4.41,0,Eglės leidykla,"13,5 x 21 cm, minkšti viršeliai",Lietuvių,0,0
COCO CHANEL: gyvenu tik kartą,Alfonso Signorini,"Menas, mada, fotografija",2012,362,0,0,7.59,Obuolys,"13,6 x 19 cm, minkšti viršeliai",Lietuvių,0,4
COCO CHANEL: Gyvenu tik kartą – intriguojanti legendinės mados ikonos biografija!,Alfonso Signorini,"Menas, mada, fotografija",2021,384,0,0,7.59,Obuolys,"13,6 x 19,1 x 2,8 cm, minkšti viršeliai",Lietuvių,32,4
Coco paslaptis,Niamh Greene,Užsienio autorių romanai,2014,272,0,0,4.90,Alma littera,"14 x 23,5 cm, kieti viršeliai",Lietuvių,4,4
Cold East,Gabija Grušaitė,Lietuvių autorių romanai,2019,256,0,0,12.99,Lapas,"12,6 x 19,6 x 1,8 cm, minkšti viršeliai",Anglų,1,5
Consonetai Helenai,Eduardas Mieželaitis,"Poezija, drama, esė",1994,179,0,0,0,Margi raštai,"11 x 19,5 cm, minkšti viršeliai",Lietuvių,0,0
Čozų raizginys (PFAF 179),Jack L. Chalker,Fantastika,2000,221,0,0,6.98,Eridanas,"13 x 20 x 1,2 cm, minkšti viršeliai",Lietuvių,0,4
Crescendo. Ciklo „Puolęs angelas“ 2-oji knyga,Becca Fitzpatrick,Fantastika,2011,360,0,0,19.89,Alma littera,"15 x 22 cm, kieti viršeliai",Lietuvių,5,5
Cukraus – pagal skonį (2021),Susan Mallery,Meilės romanai,2021,316,8.49,5.09,8.49,Svajonių knygos,"13 x 20,5 x 2,7 cm, kieti viršeliai",Lietuvių,2,5
Cukraus - pagal skonį,Susan Mallery,Meilės romanai,2009,320,0,0,3.25,Svajonių knygos,"12,5 x 18,5 cm, minkšti viršeliai",Lietuvių,2,5
Cukruota žuvis,Audronė Urbonaitė,Lietuvių autorių romanai,2012,328,0,0,2.50,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,2,4
"Dā dongou nematont, bet žemē jau žėnont",Justinas Kubilius,"Poezija, drama, esė",2023,176,11.29,10.16,0,Regionų kultūrinių iniciatyvų centras,"15 x 21 x 1,3 cm, minkšti viršeliai",Lietuvių,1,5
Da Vinčio kodas (2014),Dan Brown,"Detektyvai, trileriai",2014,544,0,0,3.27,Jotema,"12,5 x 19 cm, minkšti viršeliai",Lietuvių,27,4
Da Vinčio kodas,Dan Brown,"Detektyvai, trileriai",2003,368,0,0,3.27,Jotema,"16 x 24 cm, kieti viršeliai",Lietuvių,13,4
Dabar aš ramiai papietausiu,Saulius Vasiliauskas,"Poezija, drama, esė",2020,116,5.69,4.55,0,Lietuvos rašytojų sąjungos leidykla,"13 x 20 x 1 cm, minkšti viršeliai",Lietuvių,2,5
Dabar ir amžinai,Danielle Steel,Užsienio autorių romanai,2010,416,0,0,3.39,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,2,5
Dabar ir čia(o),Kate Bromley,Meilės romanai,2024,320,18.99,17.09,18.99,Svajonių knygos,"14,8 x 21,7 x 2,5 cm, kieti viršeliai",Lietuvių,12,4
Jei vasara prabiltų... Dabar ir visados. Sūpuoklės dviem,Nora Roberts,Meilės romanai,2017,317,0,0,2.19,Svajonių knygos,"10,8 x 18,1 x 2 cm, minkšti viršeliai",Lietuvių,1,5
Dabar ir visados,Nora Roberts,Meilės romanai,2008,192,0,0,10.99,Svajonių knygos,"10,5 x 17 cm, minkšti viršeliai",Lietuvių,0,4
Dabar ir visados. „Virpėjimo“ 3-oji knyga,Maggie Stiefvater,Fantastika,2011,432,0,0,14.99,Alma littera,"15 x 22 cm, kieti viršeliai",Lietuvių,5,5
"Dabar, rytoj arba niekada",Marianne Kavanagh,Užsienio autorių romanai,2015,312,0,0,9.27,Alma littera,"14,3 x 23,5 x 2,4 cm, kieti viršeliai",Lietuvių,1,5
Dabar viskas pasikeis,Lynn Raye Harris,Meilės romanai,2015,192,0,0,2.02,UAB Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,3
Dabarties akimirka,Guillaume Musso,"Detektyvai, trileriai",2016,288,0,0,4.59,Baltos lankos,"21 x 14,5 cm, kieti viršeliai",Lietuvių,5,4
Dafnis ir Chlojė,Longas,Meilės romanai,1958,189,0,0,4.59,Valstybinė grožinės literatūros leidykla,"11,7 x 17,4 x 1,3 cm, kieti viršeliai",Lietuvių,1,5
"Dagilio, šuns ir kiti šešėliai",Liudas Gustainis,Lietuvių autorių romanai,2012,448,0,0,5.79,Lietuvos rašytojų sąjungos leidykla,"14,5 x 21,5 cm, kieti viršeliai",Lietuvių,2,3
Dagilis,Donna Tartt,Užsienio autorių romanai,2021,840,22.99,22.99,22.99,Alma littera,"14,3 x 23,5 x 5,2 cm, kieti viršeliai",Lietuvių,20,4
Daiktai,Leonardas Gutauskas,Lietuvių autorių romanai,2008,440,0,0,11.29,Lietuvos rašytojų sąjungos leidykla,"15 x 22 cm, kieti viršeliai",Lietuvių,0,5
Daikto kūnas,Tomas Petrulis,"Poezija, drama, esė",2024,80,18.49,16.64,0,Baziliskas,"11,8 x 17,6 x 0,7 cm, minkšti viršeliai",Lietuvių,0,4
Dailidės pieštukas,Manuel Rivas,Užsienio autorių romanai,2012,184,0,0,2.09,Kitos knygos,"20 x 14 cm, minkšti viršeliai",Lietuvių,1,4
Dailininko mokinė,Charlotte Betts,Meilės romanai,2017,360,0,0,11.99,Alma littera,"14,3 x 23,5 x 3,2 cm, kieti viršeliai",Lietuvių,2,5
Daina apie sakalą,Sergijus Minclovas,Lietuvių autorių romanai,1991,219,0,0,2.00,Victoria,"14 x 21 x 1 cm, minkšti viršeliai",Lietuvių,1,5
Daina graudyn ir įstabyn,Jonas Aistis,Lietuvių autorių romanai,1991,224,0,0,2.19,Šviesa,"13 x 20, kieti viršeliai",Lietuvių,0,0
Dainavos šalies senų žmonių padavimai,Vincas Krėvė,Lietuvių autorių romanai,1992,174,0,0,3.39,Šviesa,"13 x 20 x 1 cm, kieti viršeliai",Lietuvių,1,5
Dainelė apie sąryšius ir priklausomybes,Eugeniusz Tkaczyszyn-Dycki,"Poezija, drama, esė",2020,36,3.89,3.50,0,Slinktys,"11,5 x 18 x 0,3 cm, minkšti viršeliai",Lietuvių,0,4
Dainos lietuvninko Žemaičiuose,Antanas Vienažindys,"Poezija, drama, esė",2017,150,10.69,9.62,0,Lietuvių literatūros ir tautosakos institutas,"19,5 x 20 x 1,2 cm, kieti viršeliai",Lietuvių,0,4
Dainos,Pjeras Žanas Beranže,"Poezija, drama, esė",1981,102,0,0,2.79,Vaga,"11,5 x 19 cm, minkšti viršeliai",Lietuvių,0,0
Dainuojanti viltis,Algis Kryžanauskas,"Poezija, drama, esė",2002,186,0,0,0,Baltijos kopija,"11 x 22 x 1 cm, minkšti viršeliai",Lietuvių,1,5
Dainuokim dainuokim dainuokim. I knyga,Eduardas Kasperavičius,"Poezija, drama, esė",1994,207,1.99,1.79,0,Asveja,"11 x 17 cm, kieti viršeliai",Lietuvių,0,0
Dainuokim dainuokim dainuokim. II knyga,Eduardas Kasperavičius,"Poezija, drama, esė",1994,205,1.89,1.70,0,Asveja,"11 x 17 cm, kieti viršeliai",Lietuvių,0,0
Dainuokim dainuokim dainuokim. III knyga,Eduardas Kasperavičius,"Poezija, drama, esė",1994,205,1.99,1.79,0,Asveja,"11 x 17 cm, kieti viršeliai",Lietuvių,0,0
Dainuosiu tau švelnias dainas,Linda Olsson,Užsienio autorių romanai,2010,276,0,0,15.99,Svajonių knygos,"12 x 19 cm, minkšti viršeliai",Lietuvių,3,5
Daisy Jones & The Six: viena istorija apie meilę ir muziką,Taylor Jenkins Reid,Užsienio autorių romanai,2020,368,0,0,6.99,Alma littera,"14,3 x 23,5 x 3,2 cm, kieti viršeliai",Lietuvių,3,4
Daktaras Faustas (Pasaulinės literatūros biblioteka 106),Thomas Mann,Klasika,1988,553,0,0,3.39,Vaga,"14,5 x 21 cm, kieti viršeliai",Lietuvių,1,5
Daktaras Miegas. Bestselerio „Švytėjimas“ tęsinys,Stephen King,Fantastika,2019,544,11.59,11.59,11.59,Alma littera,"14,3 x 23,5 x 3,4 cm, minkšti viršeliai",Lietuvių,19,4
Daktaras Ne,Ian Fleming,"Detektyvai, trileriai",2008,264,0,0,15.39,Alma littera,"14,5 x 23,5 cm, minkšti viršeliai",Lietuvių,1,5
Daktaras Niekas,Andoras Gaboras,Užsienio autorių romanai,1981,270,0,0,2.50,Vaga,"13 x 20,5 x 1,8 cm, kieti viršeliai",Lietuvių,1,5
